event_type,initial_speed,plate_x,plate_z,pitch_name,pitch_type
foul,83.5,0.823,2.382,Slider,SL
swinging_strike,72.9,0.676,1.148,Curveball,CU
swinging_strike,96.5,-0.478,1.703,Two-seam FB,FT
hit_into_play,89.1,0.2,2.072,Sinker,SI
hit_into_play,90.1,-0.004,3.037,Four-seam FB,FF
foul,87.6,0.59,1.14,Changeup,CH
foul,85.007,0.551,2.618,Changeup,CH
foul,90.2,0.064,2.239,Four-seam FB,FF
foul,91.7,0.948,3.114,Four-seam FB,FF
hit_into_play,89.345,0.187,2.879,Sinker,SI
swinging_strike,96.9,-0.187,1.854,Sinker,SI
hit_into_play,88.9,0.087,1.967,Two-seam FB,FT
foul,86.338,-0.136,2.445,Slider,SL
foul,91.7,0.661,2.931,Four-seam FB,FF
foul,88.4,0.357,1.302,Sinker,SI
hit_into_play,97.5,-0.568,1.655,Four-seam FB,FF
swinging_strike,89.5,0.023,3.642,Four-seam FB,FF
hit_into_play,92.6,1.069,2.807,Two-seam FB,FT
swinging_strike,79.2,0.896,1.923,Slider,SL
swinging_strike,91.5,0.587,1.075,Two-seam FB,FT
foul,87.2,0.57,2.46,Slider,SL
swinging_strike,76.3,0.253,1.269,Slider,SL
hit_into_play,82.4,0.575,1.671,Slider,SL
foul,94.547,-1.343,2.925,Four-seam FB,FF
hit_into_play,92.7,-0.1,2.001,Four-seam FB,FF
swinging_strike,76.848,0.273,2.302,Curveball,CU
foul,87.8,-0.432,1.219,Slider,SL
hit_into_play,87.6,-0.677,2.353,Slider,SL
foul,94.2,-0.2,1.66,Four-seam FB,FF
hit_into_play,89.544,-0.295,2.879,Four-seam FB,FF
swinging_strike,83.558,0.224,1.033,Splitter,FS
foul,89.4,-0.299,2.626,Four-seam FB,FF
hit_into_play,93,-0.736,2.126,Four-seam FB,FF
foul,95.283,-0.235,2.897,Four-seam FB,FF
swinging_strike,83.217,0.441,1.99,Slider,SL
foul,91.6,-0.201,2.256,Four-seam FB,FF
hit_into_play,88.646,0.729,1.962,Slider,SL
foul,82,-1.277,2.859,Slider,SL
hit_into_play,96.5,-0.617,2.7,Two-seam FB,FT
foul,85.3,0.63,2.498,Sinker,SI
swinging_strike,92.127,0.284,2.582,Four-seam FB,FF
hit_into_play,93.2,0.217,2.083,Four-seam FB,FF
